urls;count
http://www.securityfocus.com/;222
http://www.oracle.com/;177
http://www.securitytracker.com/;127
http://www.mandriva.com/;25
http://www.zerodayinitiative.com/;24
http://www.ubuntu.com/;14
http://www.vupen.com/;11
http://www.openwall.com/;6
http://www.exploit-db.com/;5
http://www.ibm.com/;4
http://www.ti.com/;3
http://www.lutron.com/;3
http://www.vmware.com/;3
http://www.gedigitalenergy.com/;2
http://www-01.ibm.com/;2
http://www.accuenergy.com/;2
http://www.telink-semi.com/;2
http://www.solarwinds.com/;1
http://www.fortiguard.com/;1
http://www.redhat.com/;1
